EE01;Carrera;COMISIÓN;D;CAP Capacidades;COM COMPETENCIAS;¿Cómo enseñan los contenidos? Puedes seleccionar más de una;DA Dificultades de Aprendizaje;HT Herramientas Tecnológicas;EVA Tipo de Evaluacion;DEa Afinamiento de Conceptos;¿De qué manera lo hacen? Puedes seleccionar más de una;APR Formas que aprendo
6/9/202415:54:31;IEM;1;INGENIERÍA Y SOCIEDAD;CAP01a;COM01,COM02;EE01;DA01a;HT01a,HT01b;EVA01a,EVA01b,EVA02a;DEa01;DEb01;APRa,APRb
6/9/202415:57:03;IEM;A;INGENIERÍA Y SOCIEDAD;CAP01c;COM01,COM02,COM03,COM04,COM06;EE03,EE06;DA03,;HT01g,HT01i;EVA01a,EVA01b,EVA01c,EVA01d,EVA01e,EVA02c;DEa02;DEb01;APRa,APRb,APRe
6/9/202415:57:16;IEM;A;INGENIERÍA Y SOCIEDAD;CAP01a;COM04,COM06,COM07;EE03,EE04,EE06;DA02c;HT02;EVA01b,EVA01e,EVA02a;DEa03;;APRc
6/9/202415:57:55;IEM;1,1;INGENIERÍA Y SOCIEDAD;CAP02b;COM02,COM04,COM05;EE02,EE04,EE05,EE09;DA01a;HT01a,HT01b,HT01e,HT01i,HT01k,HT01l;EVA01a,EVA01b,EVA01c,EVA01d,EVA01g,EVA01i,EVA01j,EVA02c;DEa01;DEb02,DEb04,DEb05;APRa,APRc,APRf
6/9/202415:57:56;IEM;Iemx11;INGENIERÍA Y SOCIEDAD;CAP03;COM08;EE06;DA03,;HT01i;EVA01a,EVA02a;DEa02;DEb01,DEb02;APRb
6/9/202415:58:03;IEM;1,1;INGENIERÍA Y SOCIEDAD;CAP01b;COM04,COM05,COM06;EE03,EE04,Trabajoenequipoogrupal,EE08;DA01a;HT01a,HT01i;EVA01a,EVA01d,EVA01e,EVA02a;DEa02;DEb01;APRa,APRd,APRe
6/9/202415:58:11;IEM;X11;INGENIERÍA Y SOCIEDAD;CAP02b;COM03,COM04;EE06;DA02b;HT02;EVA01a,EVA01e,EVA02a;DEa03;;APRc
6/9/202415:58:16;IEM;X11;INGENIERÍA Y SOCIEDAD;CAP02a;COM04,COM05,COM06;EE05,EE06,EE09;DA01a;HT01a,HT01g,HT01i;EVA01a,EVA01d,EVA02a;DEa01;DEb01;APRa,APRb
6/9/202415:58:23;IEM;X11;INGENIERÍA Y SOCIEDAD;CAP03;COM08;EE08;DA02b;HT02;EVA01a,EVA01j,EVA02a;DEa03;;APRe
6/9/202415:58:27;IEM;X11;INGENIERÍA Y SOCIEDAD;CAP01c;COM04,COM08;EE02,EE05,EE06;DA01a;HT01a,HT01f,HT01g,HT01i,HT01l;EVA01a,EVA01d,EVA01e,EVA01f,EVA02a;DEa01;DEb02;APRd
6/9/202415:58:30;IEM;X11;INGENIERÍA Y SOCIEDAD;CAP02b;COM04,COM05,COM06;EE06,EE08;DA02b;HT02;EVA01a,EVA02a;DEa03;;APRa
6/9/202415:58:48;IEM;1,1;INGENIERÍA Y SOCIEDAD;CAP01a;COM05;EE03;DA02a;HT01a,HT01g,HT01i;EVA01a,EVA01f,EVA02b;DEa02;DEb01;APRc,APRe
6/9/202415:58:58;IEM;A;INGENIERÍA Y SOCIEDAD;CAP03;COM08;EE03;DA03,;HT02;EVA01a,EVA02a;DEa01;DEb01;APRa
6/9/202415:59:06;IEM;A1;INGENIERÍA Y SOCIEDAD;CAP02d;COM08;EE03,EE06,EE08;DA02b;HT01a,HT01i;EVA01a,EVA01e,EVA01f,EVA02a;DEa03;;APRa
6/9/202415:59:08;IEM;X1;INGENIERÍA Y SOCIEDAD;CAP02d;COM04;EE03,EE06,EE08;DA02b;HT01a,HT01i;EVA01a,EVA01e,EVA01f,EVA02a;DEa03;;APRa
6/9/202415:59:10;IEM;X11;INGENIERÍA Y SOCIEDAD;CAP03;COM08;autodidacta;DA03,;HT01a;EVA01a,EVA01d,EVA01e,EVA01j,EVA02a;DEa03;;APRa,APRb
6/9/202415:59:28;IEM;A;INGENIERÍA Y SOCIEDAD;CAP01c;COM05,COM06;EE06;DA01a;HT01a,HT01i;EVA01a,EVA01e,EVA02c;DEa01;DEb01,DEb02;APRa,APRb
6/9/202415:59:44;IEM;IEM-A;INGENIERÍA Y SOCIEDAD;CAP01b;COM04,COM05,COM06;EE02,EE03,EE06,EE08;DA01a;HT01a,HT01i;EVA01a,EVA01e,EVA01f,EVA02a;DEa02;DEb01,DEb02,DEb04;APRa,APRd
6/9/202416:00:11;IEM;X11;INGENIERÍA Y SOCIEDAD;CAP01a;COM04,COM05,COM06,COM07;EE02,EE06;DA01a;HT01a,HT01i;EVA01a,EVA01e,EVA02c;DEa01;DEb01,DEb06;APRb
6/9/202416:00:15;IEM;A;INGENIERÍA Y SOCIEDAD;CAP01a;COM04,COM06;EE10;DA03,;HT01a,HT01f,HT01i;EVA01a,EVA02a;DEa03;;APRd
6/9/202416:00:32;IEM;X11;INGENIERÍA Y SOCIEDAD;CAP03;COM06;EE03;DA03,;Actividadesmedianteelcampusvirtual;EVA01a,EVA01j,EVA02c;DEa03;;APRa
6/9/202416:00:44;IEM;1,1;INGENIERÍA Y SOCIEDAD;CAP01b;COM01,COM04,COM05;EE01,EE02,EE03,Trabajoenequipoogrupal;DA02b;HT01a,HT01f,HT01g,HT01i;EVA01a,EVA01d,EVA02a;DEa02;DEb01;APRa,APRc,APRe,APRf
6/9/202416:00:58;IEM;A;INGENIERÍA Y SOCIEDAD;CAP02a;COM04,COM05;EE08;DA03,;HT01a;EVA01a,EVA02a;DEa03;;APRa,APRd
6/9/202416:00:59;IEM;1,1;INGENIERÍA Y SOCIEDAD;CAP02b;COM04,COM06,COM08;EE02,EE03,Trabajoenequipoogrupal;DA03,;HT01i;EVA01a,EVA01e,EVA02a;DEa03;;APRb
6/9/202416:01:09;IEM;1;INGENIERÍA Y SOCIEDAD;CAP02c;COM04,COM05,COM06;EE03,EE05,Trabajoenequipoogrupal,EE08,EE10;DA01b;HT01a,HT01g,HT01i,HT01l;EVA01a,EVA01d,EVA01e,EVA01f,EVA02c;DEa03;;APRc
6/9/202416:01:23;IEM;X11;INGENIERÍA Y SOCIEDAD;CAP02b;COM04,COM06,COM08;EE03,EE04,EE06;DA03,;HT02;EVA01a,EVA01e,EVA01g,;DEa03;;APRb,APRe,APRf
6/9/202416:01:36;IEM;1;INGENIERÍA Y SOCIEDAD;CAP01a;COM01,COM02,COM03,COM04,COM06;EE02,EE03,Trabajoenequipoogrupal;DA01a;HT01g,HT01i;EVA01e,EVA01f,EVA02a;DEa03;;APRa,APRc,APRe
6/9/202416:02:06;IEM;1;INGENIERÍA Y SOCIEDAD;AVECES,;COM08;Noenseñannada;DA03,;HT02;EVA01a,EVA02a;DEa03;;Ninguna
6/9/202416:03:21;IEM;A;INGENIERÍA Y SOCIEDAD;CAP01b;COM08;EE06;DA03,;HT01i;EVA01a,EVA01e,EVA01j,EVA02a;DEa02;DEb01;APRa
6/9/202416:03:25;IEM;A;INGENIERÍA Y SOCIEDAD;CAP01a;COM04,COM05,COM06;EE02;DA02b;HT02;EVA01a,EVA01e,EVA02a;DEa03;;APRa,APRc
6/9/202416:04:35;IEM;X11;INGENIERÍA Y SOCIEDAD;CAP03;COM08,Lamaterianoteayudaennadaytesacatiempoquesepuedendedicaramateriasquesivalenlapena;EE03;DA03,;HT01a;EVA01a,EVA01e,;DEa03;;APRa,APRb
6/9/202416:05:14;IEM;1;INGENIERÍA Y SOCIEDAD;CAP01c;COM06;Trabajoenequipoogrupal,EE08;DA02a;HT01a,HT01e,HT01i,HT01l;EVA01a,EVA01e,EVA02a;DEa01;DEb01,DEb06;APRa,APRb,APRe
13/8/202418:15:47;ISI;A;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP02b;COM03,COM07;EE06,EE07;DA02b;HT01b,HT01e,HT01f;EVA01c,EVA01g,EVA02c;DEa02;DEb02,DEb05;VideosdeYouTube
21/8/202418:33:34;ISI;Dk14;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01b;COM01,COM02,COM03,COM04,COM05,COM06;EE03,EE10;DA02b;HT01a,HT01i;EVA01a,EVA01b,EVA02c;DEa02;DEb02;APRa,APRb,APRc
21/8/202418:41:11;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM04,COM05,COM06,COM07;EE10;DA01b;HT01a;EVA01d,EVA02c;DEa01;DEb01;APRa,APRb
21/8/202418:42:05;ISI;Do4;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01c;COM01,COM02,COM04,COM07;EE03,EE06,EE08,EE10;DA03,;HT01a,HT01b;EVA01a,EVA01c,EVA01d,EVA02a;DEa03;;APRa,APRb,APRd
21/8/202418:50:50;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;SIEMPRE,Durantelaexposicióndeconceptosteóricos(ejemplificandolautilizacióndelashabilidadesenelcampolaboral)Además,almomentoderealizaralgunaactividad;COM02,COM04,COM05,COM06;EE01,EE03,EE06,EE10;DA01a;HT01a;EVA01b,EVA01f,EVA02c;DEa02;DEb01;APRa,APRe
21/8/202419:01:59;ISI;K14;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01,COM04,COM05,COM06;EE01,EE06;DA01a;HT01i;EVA01d,EVA02c;DEa02;DEb01;APRa,APRb
21/8/202419:45:57;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01,COM03,COM04,COM05,COM06;EE01,EE03,EE06,EE10;DA01a;HT01a;EVA01d,EVA01e,EVA01f,EVA02c;DEa01;DEb01,DEb04;APRa,APRc
21/8/202420:58:12;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01,COM04,COM05;EE01,EE02,EE03,EE06,EE08,EE10;DA01a;HT01a;EVA01d,EVA02c;DEa02;DEb01,DEb04;APRa,APRb
21/8/202421:11:04;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01,COM02,COM03,COM04,COM05,COM07;EE01,EE04,EE05,EE06,EE08,EE10;DA01a;HT01a;EVA01d,EVA02c;DEa03;;APRa,APRb,APRc
22/8/202409:55:47;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01b;COM01,COM04,COM05,COM06,COM07;EE01,EE03,EE06,EE08,EE10;DA01a;HT01a;EVA01b,EVA02c;DEa02;DEb01;APRb,APRc,APRf
22/8/202422:25:06;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP02a;COM07;EE02;DA02b;HT01a;EVA01d,EVA02b;DEa02;DEb02;APRa
23/8/202411:04:58;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM02,COM04;EE08;DA01a;HT02;EVA01d,EVA01f,EVA02a;DEa01;DEb01;APRa,APRb
23/8/202411:21:37;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP02b;COM04,COM05,COM06,COM07;EE01,EE03,EE05,EE10;DA01a;HT01a;EVA01b,EVA02c;DEa03;;APRc,APRd,APRe,APRf
23/8/202411:47:09;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM03,COM04;EE03;DA01a;HT01a;EVA01d,EVA02c;DEa02;DEb01;APRa,APRb
23/8/202414:24:10;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;AVECES,Durantelaexplicacióndealguntema;COM04,COM05,COM07;EE04,EE08,EE10;DA01b;HT02;EVA01a,EVA01b,EVA02c;DEa03;;APRa,APRb,APRc
23/8/202418:46:19;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM02,COM03,COM04;EE06,EE10;DA02a;HT01a;EVA01a,EVA01b,EVA01f,EVA02c;DEa02;DEb01;APRa,APRc
23/8/202421:05:57;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP03;COM07;EE01,EE08,EE10;DA03,;HT02;EVA01b,EVA01f,EVA02c;DEa03;;APRb
25/8/202408:25:46;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01,COM02,COM07;EE01,EE05,EE10;DA02a;HT01a;EVA01b,EVA02c;DEa02;DEb01;APRa,APRb,APRc
25/8/202420:48:27;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01,COM02,COM03,COM04,COM05,COM06,COM07;EE01,EE02,EE03,EE04,EE05,EE06,EE07;DA02b;HT01a,HT01f;EVA01b,EVA01f,EVA02a;DEa01;DEb01,DEb02,DEb06;APRa,APRb,APRc
4/9/202407:57:48;ISI;K14;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP02b;COM04,COM05,COM07;EE08;DA03,;Ppt;EVA01a,EVA01c,EVA01e,EVA02c;DEa03;;APRc
4/9/202408:00:52;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM04;EE03,EE06,EE10;DA01a;HT01a;EVA01d,EVA01f,EVA02c;DEa02;DEb01;APRa,APRb,APRc
4/9/202408:45:39;ISI;K14;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM03,COM04,COM06;EE04,EE08,EE10;DA01a;HT01a;,EVA02b;DEa02;DEb04;APRc,APRe
4/9/202408:46:32;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM02,COM04,COM06;EE01,EE10;DA02a;HT01a;,EVA02c;DEa01;DEb01;APRb,APRc
4/9/202410:20:12;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01,COM04,COM06;EE01,EE03,EE08,EE10;DA01a;HT01a;EVA01b,EVA01f,EVA02c;DEa01;DEb01;APRa,APRd,APRe
4/9/202411:53:22;ISI;4oD;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01,COM02,COM04,COM06;EE01,EE03,EE06,EE08,EE10;DA03,;HT01b,HT01a,TVtáctil;EVA01d,EVA02c;DEa03;;APRa,APRb,APRd
4/9/202413:49:45;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01,COM02,COM03,COM04,COM07;EE05,EE08,EE10;DA01a;HT01a;EVA01b,EVA01d,EVA02c;DEa02;DEb01;APRa,APRb,APRc
4/9/202423:43:21;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01,COM05,COM06;EE03,EE06,EE10;DA01a;HT02;EVA01b,EVA01f,EVA02c;DEa01;DEb01;APRc,APRe
5/9/202409:26:49;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM03;EE08;DA02a;HT01a;EVA01b,EVA01d,EVA02c;DEa02;DEb01;APRa
5/9/202409:30:56;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01,COM02,COM04;EE02,EE06;DA02a;HT01a;EVA01d,EVA01f,EVA01h,EVA02c;DEa02;DEb01;APRb,APRc
5/9/202409:33:12;ISI;D(k14);SISTEMAS Y PROCESOS DE NEGOCIOS;CAP02a;COM02,COM03,COM04;EE08,EE10;DA02a;HT01a;EVA01b,EVA01f,EVA02c;DEa02;DEb01;APRa,APRb,APRc
5/9/202409:47:22;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP02a;COM02,COM04,COM06,COM07;EE01,EE03,EE06,EE08,EE10;DA01a;HT01a;EVA01b,EVA01f,EVA02c;DEa01;DEb01;APRa,APRb,APRc
5/9/202410:16:55;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01,COM02,COM03;EE06,EE08,EE10;DA02a;HT01a;EVA01a,EVA01b,EVA01f,EVA01h,EVA02c;DEa02;DEb01;APRb,APRc
5/9/202411:13:43;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01,COM02,COM04,COM05,COM06,COM07;EE01,EE06,EE07,EE10;DA02b;HT01f;EVA01d,EVA01f,EVA02c;DEa01;DEb01,DEb06;APRa,APRb,APRd
5/9/202411:18:11;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01,COM02,COM04,COM06;EE01,EE03,EE10;DA02a;HT01a,HT01i;EVA01d,EVA02a;DEa01;DEb01,DEb06;APRa,APRb,APRc
5/9/202411:25:01;ISI;1,4;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01d;COM01,COM02,COM04;EE04,EE10;DA03,;HT02;EVA01b,EVA01f,EVA02c;DEa01;DEb01;APRb,APRc
5/9/202411:37:05;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01,COM02,COM04;EE10;DA02a;HT01a;EVA01d,EVA02c;DEa02;DEb01;APRb
5/9/202412:35:36;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01c;COM02,COM03,COM04,COM05;EE04,EE06,EE07,EE08;DA03,;HT01e,HT01f;EVA01b,EVA01d,EVA01f,EVA02c;DEa03;;APRa,APRb,APRc
5/9/202415:39:36;ISI;ISID;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP02a;COM02,COM04,COM05,COM06,COM07;EE01,EE03,EE10;DA02b;HT01b;EVA01d,EVA02c;DEa02;DEb01;APRa,APRc,APRe
5/9/202415:41:53;ISI;4;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP02b;COM02,COM04;EE08,EE10;DA02b;HT02;EVA01b,EVA01f,EVA02b;DEa02;DEb01;APRa,APRb
6/9/202407:29:32;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;AVECES,Durantelaclase;COM04,COM05,COM07;EE05,EE08,EE10;DA01b;HT02;EVA01d,EVA02c;DEa03;;APRa,APRb,APRc,APRe
6/9/202409:02:10;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01b;COM04,COM05,COM06;EE03,EE10;DA03,;HT02;EVA01d,EVA02b;DEa02;DEb01;APRa,APRb,APRc,APRe
6/9/202410:42:13;ISI;4;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM01;EE08,EE10;DA02a;HT02;EVA01d,EVA01f,EVA02a;DEa02;DEb01;APRa,APRb,APRd,APRe
6/9/202411:58:10;ISI;D;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP01a;COM03,COM04;EE03,EE04;DA02a;HT01a;EVA01d,EVA02a;DEa02;DEb01;APRa,APRb
8/9/202417:44:53;ISI;4;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP02a;COM01;EE01;DA03,;HT02;EVA01a,EVA01b,EVA01d,EVA01h,EVA02b;DEa03;;APRb
