EE01;Carrera;COMISIÓN;D;CAP Capacidades;COM COMPETENCIAS;¿Cómo enseñan los contenidos? Puedes seleccionar más de una;DA Dificultades de Aprendizaje;HT Herramientas Tecnológicas;EVA Tipo de Evaluacion;DEa Afinamiento de Conceptos;¿De qué manera lo hacen? Puedes seleccionar más de una;APR Formas que aprendo
6/9/202415:57:19;IEM;1,1;FÍSICA I;CAP02b;COM01,COM02,COM03;EE01,EE02,EE03,Trabajoenequipoogrupal,EE07,EE09;DA02b;HT01b,HT01f;EVA01b,EVA01f,EVA01j,EVA02c;DEa02;DEb01,DEb06;APRb,APRc,APRe,APRf
6/9/202415:57:19;IEM;A;FÍSICA I;CAP01b;COM01,COM03,COM05;EE01,EE02,EE03,EE09,EE10;DA03,;HT02;EVA01b,EVA01h,EVA02c;DEa01;DEb01;APRa,APRb,APRc
6/9/202415:57:30;IEM;1;FÍSICA I;CAP02a;COM01,COM03;EE08,EE09,EE10;DA03,;HT02;EVA01c,EVA01d,EVA01f,EVA01j,EVA02c;DEa02;DEb01,DEb05;APRa,APRc,APRe
6/9/202415:57:36;IEM;1;FÍSICA I;CAP02b;COM01,COM04;EE03,EE08,EE10;DA03,;HT02;EVA01a,EVA01b,EVA01j,EVA02c;DEa03;;APRb,APRc,APRe,APRf
6/9/202415:58:08;IEM;1,1;FÍSICA I;CAP02a;COM01,COM02,COM06;EE09,EE10;DA03,;HT01b;EVA01b,EVA01d,EVA02c;DEa02;DEb01;Yendoalasclasesdeguille
6/9/202415:58:17;IEM;X11;FÍSICA I;CAP02b;COM01,COM03,Perseveranciaantedificultadesinsuperables;EE09,EE10;DA02b;HT01b;EVA01b,EVA01f,EVA01j,EVA02c;DEa02;DEb01,DEb06;APRb,APRd
6/9/202415:58:43;IEM;A;FÍSICA I;AVECES,Alproponerunproblemarealdelavida;COM01;EE01;DA01a;HT01b;EVA01b,EVA01d,EVA02b;DEa01;DEb03,DEb06;APRb,APRc
5/9/202414:43:50;IEM;A;ELECTROMECÁNICA I;CAP01a;COM01,COM02;EE02,EE06;DA02a;HT01a;EVA01e,EVA02a;DEa01;DEb01,DEb02;APRa,APRb
5/9/202414:45:08;IEM;IEMA;ELECTROMECÁNICA I;CAP01a;COM01,COM02,COM04,COM05,COM06,COM07;EE01,EE02,EE03;DA01a;HT01a;EVA01e,EVA02c;DEa01;DEb01;APRa
5/9/202414:45:22;IEM;A;ELECTROMECÁNICA I;CAP03;COM08;EE02;DA03,;HT01a;EVA01d,EVA01e,EVA01f,EVA02c;DEa03;;APRa,APRb,APRd,APRe,APRf
5/9/202414:45:27;IEM;1;ELECTROMECÁNICA I;CAP01c;COM02;EE01;DA01a;HT01a,HT01e,HT01i;EVA01e,EVA01f,EVA02c;DEa01;DEb01,DEb03,DEb05;APRb,APRc,APRe
5/9/202414:45:33;IEM;11:00 a. m.;ELECTROMECÁNICA I;CAP01b;COM01,COM02,COM03,COM04,COM05;EE01,EE02,EE03,EE06;DA02a;HT01a,HT01e;EVA01d,EVA01e,EVA01j,EVA02c;DEa01;DEb01;APRa,APRc
5/9/202414:45:50;IEM;A;ELECTROMECÁNICA I;CAP01b;COM01,COM02,COM03,COM05;EE01,EE02,EE03;DA01a;HT01a;EVA01e,EVA02c;DEa01;DEb01,DEb02,DEb04;APRa,APRb,APRc
5/9/202414:46:08;IEM;A;ELECTROMECÁNICA I;CAP01d;COM01,COM02,COM03,COM04,COM05,COM06,COM07;EE01,EE02,EE03,EE04,EE05,EE06,EE09;DA03,;HT01a,Instrumentosdemedicion;EVA01e,EVA01f,EVA02c;DEa03;;APRd
5/9/202414:46:17;IEM;A;ELECTROMECÁNICA I;CAP01c;COM01,COM02;EE03,EE06;DA02a;HT01a,HT01i;EVA01e,EVA02c;DEa03;;APRb,APRc
5/9/202414:46:20;IEM;A;ELECTROMECÁNICA I;CAP02d;COM01,COM02,COM03,COM04;EE01,EE02,EE03,EE06;DA02b;HT01i,powerpoint,fotosdeltrabajoingenieril;EVA01e,EVA01f,EVA02b;DEa02;DEb01,DEb02,DEb04,DEb05,DEb06;APRa,APRb,APRc,APRe,APRf
5/9/202414:46:21;IEM;1;ELECTROMECÁNICA I;CAP01d;COM02;EE09;DA02a;HT01a,HT01b;EVA01b,EVA02c;DEa01;DEb01;APRb
5/9/202414:46:24;IEM;A;FÍSICA I;CAP02a;COM01,COM02;EE01;DA01b;HT02;EVA01b,EVA02c;DEa02;DEb04;APRc
5/9/202414:46:27;IEM;A;ELECTROMECÁNICA I;CAP01a;COM01,COM02,COM03,COM04,COM06,COM07;EE02,EE03,EE06,EE09;DA01a;HT01a;EVA01e,EVA02a;DEa01;DEb01,DEb02,DEb04;APRa,APRd
5/9/202414:46:46;IEM;A;FÍSICA I;CAP01a;COM01,COM03,COM05;EE01,EE06,EE09,EE10;DA01a;HT01b,HT01k;EVA01b,EVA01d,EVA01f,EVA01j,EVA02c;DEa01;DEb01;APRa
5/9/202414:46:50;IEM;IEM-A;ELECTROMECÁNICA I;CAP01c;COM01,COM02,COM04,COM05,COM07;EE01,EE02,EE03,EE05,EE06;DA01a;HT01a;EVA01e,EVA01f,EVA02c;DEa01;DEb01,DEb02,DEb04,DEb05;APRc,APRd,APRe,APRf
5/9/202414:46:51;IEM;A;ELECTROMECÁNICA I;CAP01c;COM01,COM02,COM03,COM04,COM05,COM07;EE01,EE02,EE03,EE06,EE07;DA02a;HT01a,HT01i;EVA01e,EVA02c;DEa01;DEb01;APRa,APRc,APRd,APRe
5/9/202414:46:51;IEM;A;ELECTROMECÁNICA I;CAP01c;COM01,COM03;EE05,EE08;DA02b;HT01a;EVA01e,EVA01j,EVA02c;DEa02;DEb04;APRa,APRe,APRf
5/9/202414:46:54;IEM;A;ELECTROMECÁNICA I;CAP01c;COM01,COM02,COM03,COM04;EE01,EE02,EE06;DA01a;Herramientasyartefactos;EVA01e,EVA02c;DEa03;;APRb,APRe,APRf
5/9/202414:47:11;IEM;A;ELECTROMECÁNICA I;CAP02b;COM01,COM02,COM03,COM04,COM05,COM06,COM07;EE02,EE03,EE04,EE06;DA01b;HT01i;EVA01d,EVA01e,EVA02c;DEa01;DEb01,DEb04;APRa,APRc,APRe
5/9/202414:47:13;IEM;A;ELECTROMECÁNICA I;CAP01a;COM01,COM02,COM04;EE02,EE03,EE06;DA02a;HT01a;EVA01e,EVA01j,EVA02c;DEa02;DEb01;APRc,APRe,APRf
5/9/202414:47:15;IEM;IemA;ELECTROMECÁNICA I;CAP01b;COM01,COM02,COM03,COM06;EE01,EE02,EE04,EE06;DA01a;HT01i;EVA01e,EVA01j,EVA02c;DEa01;DEb01,DEb06;APRb,APRc
5/9/202414:47:24;IEM;1;ELECTROMECÁNICA I;CAP02a;COM01,COM04;EE02,EE03;DA02a;HT01a,HT01i;EVA01b,EVA01e,EVA02a;DEa01;DEb01;APRa
5/9/202414:47:24;IEM;A;ELECTROMECÁNICA I;CAP01b;COM02,COM03,COM04,COM05;EE02,EE03,EE06;DA02a;HT02;EVA01e,EVA01f,EVA02a;DEa02;DEb01;APRc,APRe
5/9/202414:47:27;IEM;1;ELECTROMECÁNICA I;CAP01b;COM01,COM02,COM03,COM04,COM06;EE01,EE02,EE04,Trabajoenequipoogrupal;DA01a;HT01a,HT01i;EVA01e,EVA01j,EVA02c;DEa02;DEb01;APRa,APRe
5/9/202414:47:27;IEM;A;ELECTROMECÁNICA I;CAP01c;COM01,COM02,COM03,COM04,COM06;EE01,EE02,EE04,EE05,EE06,EE09;DA01a;HT02;EVA01e,EVA01f,EVA02c;DEa01;DEb01;APRb,APRc,APRe
5/9/202414:47:43;IEM;A;ELECTROMECÁNICA I;CAP01c;COM01,COM03;EE02,EE06;DA01a;HT01a,HT01b;EVA01f,EVA02c;DEa02;DEb01;APRb,APRd
5/9/202414:48:02;IEM;A;ELECTROMECÁNICA I;CAP01b;COM01,COM02,COM03,COM04,COM06;EE01,EE02;DA02a;HT01a;EVA01a,EVA01e,EVA02c;DEa01;DEb01,DEb02;APRa,APRb
5/9/202414:48:03;IEM;A;ELECTROMECÁNICA I;CAP03;COM02,COM03;EE02,EE03,EE06;DA03,;HT01a;EVA01e,EVA01j,EVA02c;DEa03;;APRa,APRe
5/9/202414:48:09;IEM;A;ELECTROMECÁNICA I;CAP02c;COM01,COM02,COM03,COM04,COM07;EE02,EE03,EE06,EE10;DA03,;HT01a;EVA01e,EVA01f,EVA02c;DEa02;DEb01;APRa,APRb,APRc
5/9/202414:48:17;IEM;A;FÍSICA I;CAP02a;COM01,COM02,COM03;EE01,EE05,EE07,EE09;DA02b;HT02;EVA01b,EVA01f,EVA02b;DEa02;DEb02;APRb,APRd
5/9/202414:48:32;IEM;1;ELECTROMECÁNICA I;CAP02a;COM01,COM02,COM03;EE01,EE02,EE03,Trabajoenequipoogrupal;DA02b;HT01a;EVA01f,EVA02c;DEa01;DEb01;APRe,APRf
5/9/202414:48:34;IEM;A;ELECTROMECÁNICA I;CAP01b;COM01,COM03;EE02,EE08,EE09;DA01a;HT02;EVA01e,EVA02c;DEa03;;APRc,APRe,APRf
5/9/202414:48:39;IEM;A;ELECTROMECÁNICA I;CAP01a;COM01,COM02,COM06,COM07;EE02,EE06;DA02a;HT01a,;EVA01e,EVA01f,EVA02c;DEa02;DEb01,DEb02;APRa,APRb
5/9/202414:49:03;IEM;A;ELECTROMECÁNICA I;CAP01c;COM05;EE06;DA03,;HT01i;EVA01f,EVA02c;DEa01;DEb01;APRa,APRb
5/9/202414:49:06;IEM;A;ELECTROMECÁNICA I;CAP02c;COM02,COM03,COM04,COM05;EE02,EE05;DA03,;HT01i;EVA01e,EVA01h,EVA02a;DEa01;DEb01;APRa
5/9/202414:49:14;IEM;1;ELECTROMECÁNICA I;CAP02c;COM04,COM05,COM06;EE01,EE07,EE09,EE10;DA03,;HT01a,HT01b,HT01e,HT01g,HT01i,HT01k,HT01l;EVA01a,EVA01b,EVA01c,EVA01d,EVA01e,EVA01f,EVA02c;DEa01;DEb01,DEb03,DEb06;APRa,APRb,APRc,APRd,APRf
5/9/202414:49:16;IEM;1;ELECTROMECÁNICA I;CAP01c;COM03;EE01,EE03,Trabajoenequipoogrupal,EE09;DA03,;HT01i;EVA01e,EVA01h,EVA02c;DEa02;DEb02;APRa,APRc,APRe
